category,decade,male,female,org,total,portion,,,,,,,
chemistry,1900,10,0,0,10,0.00,,,,,,,
chemistry,1910,7,1,0,8,0.13,,,,,,,
chemistry,1920,10,0,0,10,0.00,,,,,,,
chemistry,1930,16,1,0,17,0.06,,,,,,,
chemistry,1940,11,0,0,11,0.00,,,,,,,
chemistry,1950,14,0,0,14,0.00,,,,,,,
chemistry,1960,14,1,0,15,0.07,,,,,,,
chemistry,1970,18,0,0,18,0.00,,,,,,,
chemistry,1980,21,0,0,21,0.00,,,,,,,
chemistry,1990,20,0,0,20,0.00,,,,,,,
chemistry,2000,28,1,0,29,0.03,,,,,,,
chemistry,2010,17,0,0,17,0.00,,,,,,,
economics,1960,3,0,0,3,0.00,,,,,,,
economics,1970,15,0,0,15,0.00,,,,,,,
economics,1980,12,0,0,12,0.00,,,,,,,
economics,1990,16,0,0,16,0.00,,,,,,,
economics,2000,23,2,0,25,0.08,,,,,,,
economics,2010,10,0,0,10,0.00,,,,,,,
literature,1900,10,1,0,11,0.09,,,,,,,
literature,1910,9,0,0,9,0.00,,,,,,,
literature,1920,8,2,0,10,0.20,,,,,,,
literature,1930,7,1,0,8,0.13,,,,,,,
literature,1940,6,1,0,7,0.14,,,,,,,
literature,1950,10,0,0,10,0.00,,,,,,,
literature,1960,10,1,0,11,0.09,,,,,,,
literature,1970,11,0,0,11,0.00,,,,,,,
literature,1980,10,0,0,10,0.00,,,,,,,
literature,1990,7,3,0,10,0.30,,,,,,,
literature,2000,7,3,0,10,0.30,,,,,,,
literature,2010,3,2,0,5,0.40,,,,,,,
medicine,1900,13,0,0,13,0.00,,,,,,,
medicine,1910,6,0,0,6,0.00,,,,,,,
medicine,1920,11,0,0,11,0.00,,,,,,,
medicine,1930,14,0,0,14,0.00,,,,,,,
medicine,1940,17,1,0,18,0.06,,,,,,,
medicine,1950,22,0,0,22,0.00,,,,,,,
medicine,1960,26,0,0,26,0.00,,,,,,,
medicine,1970,25,1,0,26,0.04,,,,,,,
medicine,1980,19,3,0,22,0.14,,,,,,,
medicine,1990,21,1,0,22,0.05,,,,,,,
medicine,2000,24,4,0,28,0.14,,,,,,,
medicine,2010,16,2,0,18,0.11,,,,,,,
peace,1900,12,1,2,15,0.07,,,,,,,
peace,1910,6,0,1,7,0.00,,,,,,,
peace,1920,11,0,0,11,0.00,,,,,,,
peace,1930,6,1,1,8,0.13,,,,,,,
peace,1940,4,1,3,8,0.13,,,,,,,
peace,1950,7,0,1,8,0.00,,,,,,,
peace,1960,5,0,4,9,0.00,,,,,,,
peace,1970,9,3,1,13,0.23,,,,,,,
peace,1980,7,1,3,11,0.09,,,,,,,
peace,1990,11,3,3,17,0.18,,,,,,,
peace,2000,8,2,4,14,0.14,,,,,,,
peace,2010,1,4,3,8,0.50,,,,,,,
physics,1900,13,1,0,14,0.07,,,,,,,
physics,1910,10,0,0,10,0.00,,,,,,,
physics,1920,12,0,0,12,0.00,,,,,,,
physics,1930,10,0,0,10,0.00,,,,,,,
physics,1940,9,0,0,9,0.00,,,,,,,
physics,1950,23,0,0,23,0.00,,,,,,,
physics,1960,18,1,0,19,0.05,,,,,,,
physics,1970,26,0,0,26,0.00,,,,,,,
physics,1980,23,0,0,23,0.00,,,,,,,
physics,1990,24,0,0,24,0.00,,,,,,,
physics,2000,32,0,0,32,0.00,,,,,,,
physics,2010,15,0,0,15,0.00,,,,,,,
