Country,male,female,org,Total
United States of America,263,12,0,275
Germany,87,2,0,89
United Kingdom,87,0,0,87
France,54,2,0,56
Russia,31,0,0,31
Sweden,28,2,0,30
Poland,26,4,0,30
Japan,29,0,0,29
Italy,18,2,0,20
the Netherlands,19,0,0,19
Austria,18,1,0,19
Canada,17,1,0,18
Switzerland,17,0,0,17
Norway,12,1,0,13
China,12,1,0,13
Denmark,11,1,0,12
Australia,10,1,0,11
South Africa,8,1,0,9
Scotland,9,0,0,9
Hungary,9,0,0,9
Belgium,9,0,0,9
India,8,0,0,8
Spain,7,0,0,7
Israel,5,1,0,6
Egypt,5,1,0,6
Czech Republic,4,2,0,6
Ukraine,4,1,0,5
Romania,4,1,0,5
Northern Ireland,3,2,0,5
Ireland,5,0,0,5
Pakistan,3,1,0,4
Belarus,4,0,0,4
Argentina,4,0,0,4
Turkey,3,0,0,3
Portugal,3,0,0,3
New Zealand,3,0,0,3
Mexico,3,0,0,3
Lithuania,3,0,0,3
Finland,3,0,0,3
Algeria,3,0,0,3
South Korea,2,0,0,2
Saint Lucia,2,0,0,2
Morocco,2,0,0,2
Luxembourg,2,0,0,2
Liberia,0,2,0,2
Iran,0,2,0,2
Guatemala,1,1,0,2
East Timor,2,0,0,2
Colombia,2,0,0,2
Chile,1,1,0,2
Bosnia,2,0,0,2
Zimbabwe,1,0,0,1
Yemen,0,1,0,1
Vietnam,1,0,0,1
Venezuela,1,0,0,1
Trinidad,1,0,0,1
Taiwan,1,0,0,1
Slovenia,1,0,0,1
Slovakia,1,0,0,1
Peru,1,0,0,1
Nigeria,1,0,0,1
Myanmar,0,1,0,1
Madagascar,1,0,0,1
Macedonia,0,1,0,1
Latvia,1,0,0,1
Kenya,0,1,0,1
Indonesia,1,0,0,1
Iceland,1,0,0,1
Guadeloupe Island,1,0,0,1
Greece,1,0,0,1
Ghana,1,0,0,1
Cyprus,1,0,0,1
Croatia,1,0,0,1
Costa Rica,1,0,0,1
Bulgaria,1,0,0,1
Brazil,1,0,0,1
Bangladesh,1,0,0,1
Azerbaijan,1,0,0,1
